ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	
Unknown	168.98671	10/22/0116 07:50.09	00010139	10.550	Inter688t33-0	-0.972	1	1	175.504	11.111	-16.6	0.125	0.000	D	F	1764.3	174.335	0.193	0.074	697.525	580.942	0.022	-	-0.557	0.560	-	-	-	Ambient328	2.504	26.414	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	169.98674	10/22/0116 07:50.10	00010199	10.181	Inter688t33-0	-1.362	1	1	172.898	11.111	17.8	0.000	0.000	D	F	1008.0	174.621	0.193	-0.082	698.624	570.578	0.029	-	0.571	-0.505	-	-	-	Ambient328	2.462	25.068	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	170.98676	10/22/0116 07:50.11	00010259	9.680	Inter688t33-0	-0.762	1	1	175.001	11.111	13.1	0.000	0.000	D	F	951.4	177.692	0.194	-0.051	699.246	560.669	0.029	-	0.416	-0.498	-	-	-	Ambient322	3.631	35.145	3.631	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	171.98677	10/22/0116 07:50.12	00010319	8.775	Inter688t33-0	-0.091	1	1	176.027	11.111	4.7	0.000	0.215	D	F	836.2	179.144	0.093	-0.007	699.470	551.275	0.031	-	0.114	-3.164	-	-	-	Ambient322	2.940	25.795	2.940	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	172.98679	10/22/0116 07:50.13	00010379	5.636	Inter688t33-0	0.355	1	1	176.027	11.111	-0.8	0.000	0.221	D	F	537.6	179.767	0.151	0.005	699.524	544.049	0.034	-	-0.021	-3.231	-	-	-	Ambient322	2.874	16.195	2.874	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	173.98682	10/22/0116 07:50.14	00010439	2.373	Inter688t27-1	0.419	LT1	1	179.909	11.111	-3.0	0.000	0.221	D	F	477.5	179.828	0.157	0.008	699.538	540.052	0.034	-	-0.037	-3.125	-	-	-	Ambient322	6.135	14.559	6.135	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	174.98683	10/22/0116 07:50.15	00010499	0.279	Inter688t27-1	0.413	LT1	1	179.909	11.111	-8.4	0.000	0.000	D	F	477.5	179.695	0.277	0.000	699.545	539.033	0.031	-	-0.002	0.228	-	-	-	Ambient322	48.449	13.540	48.449	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	175.98685	10/22/0116 07:50.16	00010559	0.422	Inter688t27-1	0.410	LT1	1	179.909	11.111	-8.4	0.000	0.000	D	F	477.5	179.630	0.204	0.000	699.549	538.676	0.027	-	-0.001	0.100	-	-	-	Ambient322	31.277	13.183	31.277	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	176.98688	10/22/0116 07:50.17	00010619	0.488	Inter688t27-1	0.405	LT1	1	179.909	11.111	-9.8	0.000	0.000	D	F	477.5	179.543	0.203	-0.000	699.555	538.217	0.026	-	-0.001	0.042	-	-	-	Ambient322	26.093	12.724	26.093	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	177.98689	10/22/0116 07:50.18	00010679	0.518	Inter688t27-1	0.398	LT1	1	179.909	11.111	-9.7	0.000	0.000	D	F	477.5	179.438	0.204	0.000	699.562	537.713	0.026	-	-0.001	0.026	-	-	-	Ambient322	23.582	12.220	23.582	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
